distribution,n,estimator,mean,variance,std,skewness,excess_kurtosis
Uniform(-sqrt(3), sqrt(3)),5,mean,0.0006969522911618336,0.20001625917703386,0.4472317734430704,0.02709052536966847,-0.25320807767587405
Uniform(-sqrt(3), sqrt(3)),5,median,0.002168004480785837,0.42304824992365125,0.6504215939862784,0.00822115689315602,-0.6332610552408138
Uniform(-sqrt(3), sqrt(3)),5,trimmed,0.0006969522911618334,0.20001625917703386,0.4472317734430704,0.027090525369668467,-0.25320807767587405
Uniform(-sqrt(3), sqrt(3)),10,mean,0.003661538170246428,0.09997647600589633,0.31619056912864485,-0.019933064920146078,-0.1175450257527304
Uniform(-sqrt(3), sqrt(3)),10,median,0.007126213678494169,0.22764183704875243,0.47711826316831807,-0.012948904690438388,-0.39117937427361094
Uniform(-sqrt(3), sqrt(3)),10,trimmed,0.004547345079030397,0.13100429614606685,0.36194515626827617,-0.019584959685325344,-0.18722315202084827
Uniform(-sqrt(3), sqrt(3)),30,mean,-0.0002960456699094875,0.032917995738758296,0.18143317155018346,-0.001814573906548197,-0.03582287749471824
Uniform(-sqrt(3), sqrt(3)),30,median,0.0032698944677525903,0.08981290656005805,0.29968801537608747,-0.017188453622839203,-0.17163040525197681
Uniform(-sqrt(3), sqrt(3)),30,trimmed,-0.00016404906382885728,0.044823421239403916,0.21171542513337074,0.0068870360430434135,-0.06041267267923223
Uniform(-sqrt(3), sqrt(3)),100,mean,-0.0002842429675362342,0.009901454352978177,0.09950605184097185,-0.01570117398541742,-0.07094526328973005
Uniform(-sqrt(3), sqrt(3)),100,median,-0.00013155626442938275,0.02924793439481008,0.17102027480626406,-0.008156513743707593,-0.09147296048478104
Uniform(-sqrt(3), sqrt(3)),100,trimmed,-0.00021024515275413664,0.01375024312710879,0.11726143068847825,-0.017199978424607992,-0.07114962442251827
Normal(0, 1),5,mean,0.0005318074899540467,0.19889055198288333,0.4459714699203115,-0.02872107323394191,-0.04281855919646471
Normal(0, 1),5,median,0.0017751016161759508,0.28194225716620364,0.5309823510873065,-0.015589012734078677,-0.037374625105006665
Normal(0, 1),5,trimmed,0.0005318074899540463,0.19889055198288333,0.4459714699203115,-0.02872107323394192,-0.04281855919646471
Normal(0, 1),10,mean,0.0019313184622676836,0.09882037486536234,0.3143570817801984,0.008128812000804942,-0.01498305434363223
Normal(0, 1),10,median,0.0027752051795469647,0.13721923804962663,0.3704311515648038,-0.011111742513576566,-0.027345504377494834
Normal(0, 1),10,trimmed,0.002925562550716925,0.10389628391762706,0.3223294648610751,0.0012710670322110648,-0.009425131423183686
Normal(0, 1),30,mean,0.000314406448471372,0.03321762730385329,0.1822570363630806,-0.016646508783861026,0.03790960204487348
Normal(0, 1),30,median,0.0016197423186791958,0.05068793096847895,0.2251398031634543,-0.004717784858480599,0.0616737265685674
Normal(0, 1),30,trimmed,0.0008661599198404795,0.03536999501035055,0.18806912295842332,-0.017229551610782455,0.0543119402386778
Normal(0, 1),100,mean,-0.0014061593691591361,0.010071428143391811,0.10035650523703887,-0.043523796243771735,-0.0018483306649725861
Normal(0, 1),100,median,-0.0005506253170595146,0.015612013115244785,0.12494804166230372,-0.03432185978859033,0.02177420438801514
Normal(0, 1),100,trimmed,-0.0011940631285409932,0.0106549157440762,0.10322265131295649,-0.04545364185141329,-0.006954566527878292
Student t(df=3),5,mean,0.0049051360986409965,0.5982306646750867,0.7734537249733087,0.5029604521585549,15.299278004077056
Student t(df=3),5,median,-0.0007191050569345551,0.40250428075462225,0.6344322507207703,-0.014150435129909116,1.0742442388335904
Student t(df=3),5,trimmed,0.004905136098640998,0.5982306646750867,0.7734537249733087,0.5029604521585549,15.299278004077056
Student t(df=3),10,mean,-0.001927875377903485,0.2792780577458966,0.5284676506143934,0.17589267609272013,2.559204656639638
Student t(df=3),10,median,0.0001229740939289769,0.1840191235141635,0.4289745021725225,-0.012123568461153575,0.4548351953801899
Student t(df=3),10,trimmed,-0.0006133882739812362,0.1814531970073809,0.425973235083357,0.04225167675349737,0.535603075395807
Student t(df=3),30,mean,0.0038801869114629796,0.09933965635500515,0.31518194167021235,-0.03342763974257566,4.61513900106485
Student t(df=3),30,median,-0.0007081856239402066,0.061170216979210545,0.2473261348487267,-0.016869927428873343,0.09080382356489203
Student t(df=3),30,trimmed,0.0015664364184214757,0.05617183551261397,0.23700598201862746,-0.0058911432508372856,0.0842431867573894
Student t(df=3),100,mean,-0.001522328783549789,0.02968413841305938,0.17229085411901404,0.10062416091395467,1.774662716585774
Student t(df=3),100,median,-0.0010127094006945326,0.018611435633846502,0.1364237355955572,0.004488720157775107,0.07234145674290993
Student t(df=3),100,trimmed,-0.0013398374203255014,0.016327661977771038,0.12777974009118598,0.01347754195581675,0.08197945613479618
